maxima,lejos de ti
1,El baile del caballo
1,Opam kay kasja
2,donde esta el amor
3,ya no sere tu panuelito
4,ai se eu te pego
5,tu ausencia
6,hoy he vuelto a ver el amor
7,intentalo
8,linda wawita
9,si me vas a abandonar
10,tirate un paso
11,balada boa
12,el ritmo de mi corazon
13,pedacito de mi vida
14,la pregunta
15,canto herido
16,corre
17,me prefieres a mi
18,el amor que perdimos
19,el teke teke
20,no te recuerdo
revelacion,festroni-k
21,el dinero
21,el cuchi cuchi
22,tento tu love
23,virgen
23,en aquel lugar
24,si te vas que hare
24,te burlabas de mi
25,bombon asesino
26,chora me liga
27,la escobita
27,gitana
28,mil heridas
29,la borrachita
29,como te olvido
30,te dejo en libertad
31,cuando se pierde un amor
32,se me ha perdido el corazon
33,te eche al olvido
34,te amare
35,que pena
36,curandero de amor
37,la borrachita
37,dutty love
38,corazon herido
39,te extrano tanto
40,mr saxobeat
41,acabame
41,estar sin ti
42,corazon embustero
43,obsesion
44,ya no te aguanto
44,tirana
45,no te voy a preguntar
46,he vuelto por ti
46,te va a doler
47,si me tenias
48,esta noche
49,buscandote
50,danza kuduro
