maxima,amigo mio
1,yo te lo dije
1,ella se fue llorando
2,parranda amor amor
2,el amor mas grande del planeta
3,mi corazon esta llorandote
4,zumba
4,princesa
5,carita de pasaporte
5,caprichos del corazon
6,te extrano tanto
7,lastima
7,tu poeta
8,hay que saber perder
8,te olvidare
9,cuando me acuerdo de ti
10,algo que decir
11,vivir mi vida
12,tan solo un minuto
13,si tu me faltas
14,como te olvido
15,un loco amor
16,llora corazon llora
17,hasta que salga el sol
18,me enamore
19,angel en zapatillas
19,hasta el fin del mundo
20,asi no
