maxima,ella se fue llorando
1,el amor mas grande del planeta
2,mi corazon esta llorandote
3,yo te lo dije
3,princesa
4,zumba
4,caprichos del corazon
5,amigo mio
5,te extrano tanto
6,lastima
6,tu poeta
7,hay que saber perder
7,cuando me acuerdo de ti
8,parranda amor amor
8,te olvidare
9,tan solo un minuto
10,algo que decir
11,vivir mi vida
12,carita de pasaporte
12,si tu me faltas
13,hasta el fin del mundo
14,me enamore
15,angel en zapatillas
16,asi no
17,festroni-k
18,como te olvido
18,llora corazon llora
19,un loco amor
20,hasta que salga el sol
