maxima,el amor mas grande del planeta
1,mi corazon esta llorandote
1,princesa
2,ella se fue llorando
3,caprichos del corazon
4,zumba
4,lastima
5,tu poeta
5,hay que saber perder
6,cuando me acuerdo de ti
6,te olvidare
7,tan solo un minuto
8,amigo mio
8,te extrano tanto
9,algo que decir
10,vivir mi vida
11,si tu me faltas
11,festroni-k
12,hasta el fin del mundo
13,parranda amor amor
13,me enamore
14,asi no
15,angel en zapatillas
16,yo te lo dije
17,carita de pasaporte
18,el tiempo
19,para siempre
20,como te olvido
