maxima,mi corazon esta llorandote
1,princesa
1,caprichos del corazon
2,lastima
2,tu poeta
3,te olvidare
4,hay que saber perder
5,cuando me acuerdo de ti
5,vivir mi vida
6,tan solo un minuto
7,el amor mas grande del planeta
7,hasta el fin del mundo
8,algo que decir
8,festroni-k
9,ella se fue llorando
10,si tu me faltas
10,asi no
11,me enamore
12,para siempre
13,angel en zapatillas
14,el tiempo
15,zumba
16,amigo mio
16,te extrano tanto
17,lo que un dia fue no sera
18,carita de pasaporte
18,perdon
19,vete
20,parranda amor amor
