maxima,caprichos del corazon
1,tu poeta
1,te olvidare
2,vivir mi vida
3,princesa
3,hasta el fin del mundo
4,hay que saber perder
4,cuando me acuerdo de ti
5,lastima
6,festroni-k
6,asi no
7,para siempre
8,me enamore
8,lo que un dia fue no sera
9,tan solo un minuto
10,el tiempo
11,mi corazon esta llorandote
11,el amor mas grande del planeta
12,soy soltera y hago lo
13,algo que decir
14,ella se fue llorando
14,vete
15,perdon
16,angel en zapatillas
17,te extrano tanto
18,tributo a la cumbia
19,carita de pasaporte
19,amigo mio
20,zumba
